# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# PBARP_ELASTIC.DAT
# PBAR P --> P PBAR
# 0.938270    0.938270      0.            2
# 141
 1    0.15367    0.09699    0.19476    93.700     20.000  20.000     0.0  0.0  HOSSAIN 65       NC 38, 737
 2    0.23916    0.19476    0.27688    89.000     15.000  15.000     0.0  0.0  HOSSAIN 65       NC 38, 737
 3    0.29406    0.21803    0.35525    80.000     10.000  10.000     0.0  0.0  CORK 62          NC 25, 497
 4    0.30600    0.30600    0.30600    74.700     1.9000  1.9000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 5    0.31037    0.27688    0.34087    86.500     16.000  16.000     0.0  0.0  HOSSAIN 65       NC 38, 737
 6    0.33600    0.33600    0.33600    75.700     1.9000  1.9000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 7    0.34870    0.30845    0.38522    77.600     3.3000  3.3000     0.0  0.0  CONFORTO 68      NC A54, 441
 8    0.36000    0.36000    0.36000    73.100     1.8000  1.8000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 9    0.38100    0.38100    0.38100    71.100     1.7000  1.7000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 10   0.39900    0.39900    0.39900    68.000     1.7000  1.7000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 11   0.40455    0.37725    0.43038    71.100     2.8000  2.8000     0.0  0.0  CONFORTO 68      NC A54, 441
 12   0.41600    0.41600    0.41600    65.500     1.6000  1.6000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 13   0.42070    0.36913    0.46746    66.000     6.0000  6.0000     0.0  0.0  CORK 62          NC 25, 497
 14   0.43100    0.43100    0.43100    66.400     1.6000  1.6000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 15   0.44412    0.42241    0.46499    68.700     2.5000  2.5000     0.0  0.0  CONFORTO 68      NC A54, 441
 16   0.44500    0.44500    0.44500    63.600     1.5000  1.5000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 17   0.45800    0.45800    0.45800    64.800     1.5000  1.5000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
 18   0.45899    0.38258    0.52624    66.000     17.000  17.000     0.0  0.0  AGNEW 60         PR 118, 1371
 19   0.46746    0.44831    0.48601    62.000     2.2000  2.2000     0.0  0.0  CONFORTO 68      NC A54, 441
 20   0.47100    0.47100    0.47100    64.800     1.5000  1.5000     0.0  0.0  CHALOUPKA 76     PL 61B, 487
